date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
2020-03-02,US,PA,,42,,,iso1:us#iso2:us-pa,,,,9,Not available,,N/A,,,N/A,null,Not Available,,,,,,,,0,,,,,,,0,,,,
2020-03-03,US,PA,,42,,,iso1:us#iso2:us-pa,,,1,14,Not available,,N/A,,,N/A,null,Not Available,,,,,,,,0,,,,,,,0,,,,
2020-03-04,US,PA,,42,,,iso1:us#iso2:us-pa,,,1,19,Not available,,N/A,,,N/A,null,Not Available,,,,,,0,,0,,,,,,,0,,,,
2020-03-05,US,PA,,42,,,iso1:us#iso2:us-pa,,,2,28,Not available,,N/A,,,N/A,null,Not Available,,,,,,0.073,,0,,,,,,,0,,,,
2020-03-06,US,PA,,42,,,iso1:us#iso2:us-pa,2,0,7,61,Not available,,N/A,,,N/A,null,Not Available,,,,,,0.133,,0,,,,,,,0,,,,
2020-03-07,US,PA,,42,,,iso1:us#iso2:us-pa,4,0,11,82,Not available,,N/A,,,N/A,null,Not Available,,2,,,,0.146,,0,,,,,,,0,,,0,
2020-03-08,US,PA,,42,,,iso1:us#iso2:us-pa,6,0,18,112,Not available,,N/A,,,N/A,null,Not Available,,2,,,,0.165,,0,,1.83,0.84,,,,0,,,0,
2020-03-09,US,PA,,42,,,iso1:us#iso2:us-pa,10,0,25,143,Not available,,N/A,,,N/A,null,Not Available,,4,,,,0.173,,0,,1.87,0.5,,,,0,,,0,
2020-03-10,US,PA,,42,,,iso1:us#iso2:us-pa,12,0,31,191,Not available,,N/A,,,N/A,null,Not Available,,2,,,,0.145,,0,,1.91,0.43,,,,0,,,0,
2020-03-11,US,PA,,42,,,iso1:us#iso2:us-pa,16,0,45,263,Not available,,N/A,,,N/A,null,Not Available,,4,,,,0.153,,0,,1.95,0.42,,,,0,,,0,
